          	phi             	sigma_nu        	rho             	theta            	a                	delta          	s              	alpha           
ave_cash  	0.134413668667  	0.267448014535  	0.126991194370  	-0.772830020921  	16.321714999086  	-0.010536962051	0.286750029903 	-0.314746772035 
var_cash  	3.514675599395  	-1.865472137565 	4.330515433093  	-2.038073489874  	24.113156197784  	-0.255725836619	0.459928096396 	11.148923082851 
scorr_cash	-0.005388771478 	0.079079576565  	-0.305992709132 	-0.009839167807  	-0.899009867375  	-0.013861636140	-0.016342104816	0.325545822601  
ave_inv   	0.190479686492  	-1.007222068015 	-0.061219454287 	3.483956650273   	-64.237943755486 	0.480391275991 	-1.073862311411	-2.573654735445 
var_inv   	-6.012614847447 	-10.303619638937	30.359259992901 	-3.508791886355  	98.650173713300  	0.225400898703 	1.956516058725 	15.302701135605 
scorr_inv 	0.044855690923  	0.099829162744  	-0.244648670411 	-0.029140171679  	0.220828046166   	-0.013128535443	0.000672748079 	-0.072874413794 
ave_prof  	0.654359814215  	0.739832945485  	1.079368101067  	-2.162555802170  	62.682869291232  	0.151148379135 	1.098671611284 	-4.494052193512 
var_prof  	2.887765403078  	7.352357258467  	-12.862068576846	-2.908412159487  	109.041277562230 	-0.255377228832	1.537452728958 	-34.917460589698
scorr_prof	-0.037675840474 	-0.095819580539 	0.184806378198  	0.100561989265   	-1.523865795590  	0.008357384403 	-0.026623081988	-0.126749609946 
ave_tobq  	0.012059331669  	0.004964954626  	-0.002966768084 	0.000076919016   	-1.449964633061  	0.000469742627 	-0.025735974472	-0.035628022993 
var_tobq  	0.003438071211  	0.005330899332  	-0.018596558910 	0.002247118685   	0.019835338152   	-0.001707270845	0.000303377544 	0.023856204221  
ave_ext   	1.395815393648  	0.859771722898  	-0.428795740898 	-0.916937953713  	22.350109421458  	0.008963860457 	0.383254798064 	-2.682564125371 
var_ext   	-1.527602178271 	-0.273914228133 	-1.725293133883 	1.229702365405   	-32.364124135698 	-0.163041062261	-0.591218908189	2.749775366519  
ave_dist  	-2.526155181171 	-0.349934589376 	2.210119192915  	-3.756731398318  	71.121042577819  	-0.407477640816	1.259128990164 	9.544572704220  
var_dist  	9.089286524810  	9.489728581161  	-46.855907575041	19.721953295240  	-493.826765929565	4.414541423162 	-7.985467405588	2.418416656996  
ave_bon   	-96.283871871777	-33.067235414939	79.489369613297 	-125.119481416597	1933.535878296047	-9.658550534584	37.243277135695	590.622660634534
